year,candidates_appeared,candidates_affected,affected_pct,integrity_status,breach_type
2024,2400000,2400000,100.0,Major,Paper Theft + Grace Mark Fraud
2026,2270000,2270000,100.0,Cancelled,Upstream Pipeline Compromise
2015,663000,630000,95.02,Cancelled,Bluetooth Cheating Ring
2025,2210000,120000,5.43,Major,Multi-Exam NTA Disruption
2023,2090000,50000,2.39,Minor,Localized Irregularities
2019,1520000,30000,1.97,Minor,OMR Tampering
2016,800000,5200,0.65,Minor,Impersonation
2021,1610000,10000,0.62,Minor,Local Paper Leak
2017,1140000,3500,0.31,Minor,Impersonation
